lat,long
46.6441,-122.51
46.8677,-121.942
47.0904,-121.371
47.2732,-120.769
47.4731,-120.177
47.7379,-119.64
48.0062,-119.104
48.1627,-118.477
48.2853,-117.831
48.3702,-117.172
48.4139,-116.503
48.4872,-115.838
48.5171,-115.165
48.5227,-114.491
48.524,-113.818
48.5111,-113.145
48.4627,-112.477
48.4093,-111.811
48.2776,-111.173
48.0298,-110.624
47.6906,-110.204
47.2487,-110.14
46.8109,-110.211
46.3864,-110.401
46.0346,-110.731
45.8458,-111.307
45.7216,-111.919
45.6508,-112.547
45.5948,-113.178
45.5569,-113.812
45.5862,-114.447
45.6389,-115.08
45.6888,-115.715
45.7437,-116.351
45.8299,-116.98
45.9356,-117.604
46.0284,-118.234
46.1181,-118.867
46.1675,-119.506
46.1472,-120.153
46.1275,-120.799
46.1063,-121.445
46.0877,-122.091
46.2856,-122.608